"filename", "language", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\about.html", "HTML", 60, 0, 0, 1, 11, 72
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\amenities.html", "HTML", 41, 0, 0, 2, 6, 49
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\global.css", "CSS", 0, 0, 36, 2, 12, 50
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\nav.css", "CSS", 0, 0, 48, 4, 8, 60
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\reservations.css", "CSS", 0, 0, 25, 2, 7, 34
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\css\table.css", "CSS", 0, 0, 18, 0, 3, 21
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\index.html", "HTML", 51, 0, 0, 1, 7, 59
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\js\amenities.js", "JavaScript", 0, 24, 0, 1, 4, 29
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\js\nav.js", "JavaScript", 0, 17, 0, 0, 5, 22
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\js\reservations.js", "JavaScript", 0, 36, 0, 1, 13, 50
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\reservations.html", "HTML", 49, 0, 0, 1, 6, 56
"e:\School\BSCS-Y1-1S\CS-001-Introduction to computing\Resort\roomrates.html", "HTML", 90, 0, 0, 1, 3, 94
"Total", "-", 291, 77, 127, 16, 85, 596
